"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753419","HHV6B","0","-nan%"
"SRR22753419","HHV7","0","-nan%"
"SRR22753419","HSV1_KOS","4","4.11%"
"SRR22753419","HSV2_StrainG","5","8.05%"
"SRR22753419","KSHV","11","8.29%"
"SRR22753419","VZV_Ellen","0","-nan%"
"SRR22753420","combined_herpes_viruses","0","-nan%"
"SRR22753420","EBV","0","-nan%"
"SRR22753420","HCMV","0","-nan%"
"SRR22753420","HHV6B","0","-nan%"
"SRR22753420","HHV7","0","-nan%"
"SRR22753420","HSV1_KOS","3","6.06%"
"SRR22753420","HSV2_StrainG","6","6.57%"
"SRR22753420","KSHV","7","8.12%"
"SRR22753420","VZV_Ellen","0","-nan%"
"SRR22753421","combined_herpes_viruses","0","-nan%"
"SRR22753421","EBV","0","-nan%"
"SRR22753421","HCMV","0","-nan%"
"SRR22753421","HHV6B","0","-nan%"
"SRR22753421","HHV7","0","-nan%"
"SRR22753421","HSV1_KOS","1","5.97%"
"SRR22753421","HSV2_StrainG","4","5.78%"
"SRR22753421","KSHV","7","8.27%"
"SRR22753421","VZV_Ellen","0","-nan%"
"SRR22753422","combined_herpes_viruses","0","-nan%"
"SRR22753422","EBV","0","-nan%"
"SRR22753422","HCMV","0","-nan%"
"SRR22753422","HHV6B","0","-nan%"
"SRR22753422","HHV7","0","-nan%"
"SRR22753422","HSV1_KOS","2","7.05%"
"SRR22753422","HSV2_StrainG","2","9.41%"
"SRR22753422","KSHV","8","7.54%"
"SRR22753422","VZV_Ellen","0","-nan%"
"SRR22753423","combined_herpes_viruses","0","-nan%"
"SRR22753423","EBV","0","-nan%"
"SRR22753423","HCMV","0","-nan%"
"SRR22753423","HHV6B","1","5.63%"
"SRR22753423","HHV7","0","-nan%"
"SRR22753423","HSV1_KOS","1","2.53%"
"SRR22753423","HSV2_StrainG","0","-nan%"
"SRR22753423","KSHV","2","8.33%"
"SRR22753423","VZV_Ellen","0","-nan%"
"SRR22753424","combined_herpes_viruses","0","-nan%"
"SRR22753424","EBV","0","-nan%"
"SRR22753424","HCMV","0","-nan%"
"SRR22753424","HHV6B","0","-nan%"
"SRR22753424","HHV7","0","-nan%"
"SRR22753424","HSV1_KOS","1","0.00%"
"SRR22753424","HSV2_StrainG","1","5.88%"
"SRR22753424","KSHV","0","-nan%"
"SRR22753424","VZV_Ellen","0","-nan%"
"SRR22753425","combined_herpes_viruses","0","-nan%"
"SRR22753425","EBV","0","-nan%"
"SRR22753425","HCMV","1","10.53%"
"SRR22753425","HHV6B","0","-nan%"
"SRR22753425","HHV7","0","-nan%"
"SRR22753425","HSV1_KOS","1","0.00%"
"SRR22753425","HSV2_StrainG","0","-nan%"
"SRR22753425","KSHV","1","9.76%"
"SRR22753425","VZV_Ellen","0","-nan%"
"SRR22753426","combined_herpes_viruses","0","-nan%"
"SRR22753426","EBV","0","-nan%"
"SRR22753426","HCMV","0","-nan%"
"SRR22753426","HHV6B","0","-nan%"
"SRR22753426","HHV7","0","-nan%"
"SRR22753426","HSV1_KOS","1","3.90%"
"SRR22753426","HSV2_StrainG","0","-nan%"
"SRR22753426","KSHV","3","5.48%"
"SRR22753426","VZV_Ellen","0","-nan%"
"SRR22753427","combined_herpes_viruses","0","-nan%"
"SRR22753427","EBV","0","-nan%"
"SRR22753427","HCMV","0","-nan%"
"SRR22753427","HHV6B","2","5.66%"
"SRR22753427","HHV7","0","-nan%"
"SRR22753427","HSV1_KOS","2","3.42%"
"SRR22753427","HSV2_StrainG","2","8.86%"
"SRR22753427","KSHV","1","10.39%"
"SRR22753427","VZV_Ellen","0","-nan%"
"SRR22753428","combined_herpes_viruses","0","-nan%"
"SRR22753428","EBV","0","-nan%"
"SRR22753428","HCMV","0","-nan%"
"SRR22753428","HHV6B","0","-nan%"
"SRR22753428","HHV7","0","-nan%"
"SRR22753428","HSV1_KOS","2","3.60%"
"SRR22753428","HSV2_StrainG","0","-nan%"
"SRR22753428","KSHV","2","8.50%"
"SRR22753428","VZV_Ellen","0","-nan%"
"SRR22753429","combined_herpes_viruses","0","-nan%"
"SRR22753429","EBV","0","-nan%"
"SRR22753429","HCMV","0","-nan%"
"SRR22753429","HHV6B","1","9.76%"
